Player;Tm;2018-19;2019-20;2020-2021;2021-2022;2022-2023;2023-2024;Signed Using;Guaranteed
Tim Hardaway;NYK;$17,325,000;$18,150,000;$18,975,000;;;;Cap space;$35,475,000
Reggie Jackson;DET;$17,043,478;$18,086,956;;;;;Bird Rights;$35,130,434
Evan Fournier;ORL;$17,000,000;$17,000,000;$17,000,000;;;;Cap Space;$34,000,000
Bismack Biyombo;CHO;$17,000,000;$17,000,000;;;;;Cap Space;$17,000,000
Derrick Favors;UTA;$16,900,000;$16,900,000;;;;;;$16,000,000
Pau Gasol;SAS;$16,800,000;$16,000,000;;;;;;$23,500,000
Jonas Valanciunas;TOR;$16,539,326;$17,617,977;;;;;1st Round Pick;$16,539,326
Gary Harris;DEN;$16,517,857;$17,839,286;$19,160,714;$20,482,143;;;1st Round Pick;$74,000,000
Andre Iguodala;GSW;$16,000,000;$17,185,185;;;;;Bird Rights;$33,185,185
Timofey Mozgov;ORL;$16,000,000;$16,720,000;;;;;Cap Space;$32,720,000
Ian Mahinmi;WAS;$15,944,154;$15,450,051;;;;;Cap Space;$31,394,205
Dennis Schroder;OKC;$15,500,000;$15,500,000;$15,500,000;;;;1st Round Pick;$46,500,000
DeMarre Carroll;BRK;$15,400,000;;;;;;Cap Space;$15,400,000
Clint Capela;HOU;$15,293,104;$16,456,522;$17,500,000;$18,543,478;$19,586,957;;;$87,380,061
Gorgui Dieng;MIN;$15,170,787;$16,229,213;$17,287,640;;;;1st Round Pick;$48,687,640
Trevor Ariza;WAS;$15,000,000;;;;;;Cap Space;$15,000,000
Eric Bledsoe;MIL;$15,000,000;;;;;;Bird Rights;$15,000,000
Ricky Rubio;UTA;$14,975,000;;;;;;1st Round Pick;$14,975,000
Tobias Harris;LAC;$14,800,000;;;;;;Bird Rights;$14,800,000
J.R. Smith;CLE;$14,720,000;$15,680,000;;;;;Bird Rights;$18,590,000
James Johnson;MIA;$14,651,700;$15,349,400;$16,047,100;;;;Cap space;$30,001,100
Brandon Knight;HOU;$14,631,250;$15,643,750;;;;;;$30,275,000
Robin Lopez;CHI;$14,357,750;;;;;;Cap Space;$14,357,750
Luol Deng;LAL;$14,354,067;$4,990,000;$4,990,000;$4,990,000;;;;$29,324,067
Marvin Williams;CHO;$14,087,500;$15,006,250;;;;;Cap Space;$14,087,500
Taj Gibson;MIN;$14,000,000;;;;;;Cap space;$14,000,000
Jeremy Lin;ATL;$13,768,421;;;;;;Cap Space;$13,768,421
Thaddeus Young;IND;$13,764,045;;;;;;Bird Rights;$13,764,045
Kenneth Faried;BRK;$13,764,045;;;;;;1st Round Pick;$13,764,045
Tyson Chandler;PHO;$13,585,000;;;;;;;$13,585,000
